Năm bán hàng_売上年,Tháng bán hàng_売上月,Iron,Harness,Alumi,New_York_Gas_Price,US_Gulf_Gas_Price
2020,5,14.0,160.0,120.0,0.593,0.546
2020,6,11.0,160.0,115.0,0.876,0.83
2020,7,18.0,220.0,115.0,1.121,1.095
2020,8,17.0,240.0,120.0,1.22,1.166
2020,9,18.5,260.0,130.0,1.248,1.244
2020,10,21.5,260.0,150.0,1.227,1.176
2020,11,21.5,250.0,140.0,1.201,1.143
2020,12,24.5,280.0,150.0,1.19,1.128
2021,1,34.5,310.0,160.0,1.359,1.298
2021,2,37.5,310.0,165.0,1.563,1.5
2021,3,37.0,340.0,175.0,1.761,1.686
2021,4,36.0,350.0,190.0,1.986,1.945
2021,5,37.5,420.0,200.0,1.988,1.958
2021,6,43.5,440.0,210.0,2.116,2.038
2021,7,46.0,460.0,230.0,2.167,2.118
2021,8,45.5,490.0,230.0,2.257,2.205
2021,9,43.0,490.0,230.0,2.235,2.215
2021,10,43.5,490.0,240.0,2.284,2.199
2021,11,50.5,550.0,275.0,2.5,2.425
2021,12,53.0,550.0,300.0,2.39,2.28
2022,1,48.5,510.0,275.0,2.203,2.129
